Time (s),Pressure (Pa)
0.0,101240.0615028046
0.01,101386.24299683003
0.02,101417.96779596504
0.03,101431.02553641539
0.04,101261.80825283323
0.05,101164.61952376131
0.06,101203.12403536071
0.07,101275.54796554825
0.08,101286.56245957299
0.09,101322.33653205955
0.1,101176.82973983933
0.11,101133.75071897155
0.12,101298.66413136166
0.13,101202.91603849834
0.14,101253.96251828206
0.15,101255.44042055644
0.16,101231.27937137632
0.17,101335.9807012941
0.18,101193.10292063207
0.19,101214.47594958975
0.2,101291.13822979692
0.21,101118.5505693416
0.22,100902.99795234544
0.23,101171.25079495902
0.24,101020.25831676598
0.25,101202.11577268185
0.26,101284.12881139274
0.27,101138.51385579105
0.28,101067.2454803579
0.29,101121.06722395372
0.3,101237.76617843146
0.31,101116.49185391811
0.32,101099.69176947277
0.33,101049.91865574862
0.34,101216.9905767712
0.35000000000000003,101116.49288747158
0.36,101150.64395353457
0.37,101198.48462524422
0.38,101158.21335074653
0.39,101154.44410299351
0.4,101142.1971685685
0.41000000000000003,101059.01810976694
0.42,101134.76471819417
0.43,101049.94012669042
0.44,101166.11776741281
0.45,100975.8109062903
0.46,101097.7232537155
0.47000000000000003,101059.54235219742
0.48,101214.92611981645
0.49,101080.58606212259
0.5,100811.58867732111
0.51,101080.66812443771
0.52,101085.28707448694
0.53,101231.14352803794
0.54,101097.08362791568
0.55,101234.92045817558
0.56,101145.5577218224
0.5700000000000001,101074.37302735345
0.58,101061.26307089414
0.59,101041.54879981393
0.6,101118.25357051972
0.61,101077.47985624896
0.62,100902.91783374423
0.63,100964.76910761461
0.64,101025.80115174457
0.65,101051.54238373326
0.66,100820.81133629638
0.67,101274.34481022067
0.68,100927.79382455049
0.6900000000000001,100951.45282048492
0.7000000000000001,100844.71477423345
0.71,100863.1547624555
0.72,100978.99291878691
0.73,100931.00276283901
0.74,100907.57197433185
0.75,100876.3813518117
0.76,101100.19716350343
0.77,101061.072405648
0.78,101178.06221829251
0.79,100990.32843637603
0.8,100903.45817423426
0.81,101062.59612131196
0.8200000000000001,100932.92802985292
0.8300000000000001,101086.5113461395
0.84,100851.16556779774
0.85,100891.60699834107
0.86,100925.43823257362
0.87,101021.51379327908
0.88,100956.00061765382
0.89,100997.36039136634
0.9,100986.25048931684
0.91,100980.7709668686
0.92,101001.28005852723
0.93,100876.62455771127
0.9400000000000001,100902.52414418224
0.9500000000000001,101027.2043623521
0.96,100891.98767378058
0.97,100911.81095483573
0.98,100886.70848575667
0.99,100865.11785527246
1.0,100976.85962931432
1.01,100893.50410179369
1.02,101031.03240277672
1.03,100932.02383087363
1.04,100891.79926832227
1.05,100787.25487718584
1.06,100984.44883058112
1.07,100902.7723724519
1.08,100924.23510834089
1.09,100806.2652561387
1.1,100845.34719802986
1.11,101060.274185661
1.12,100741.20197989038
1.1300000000000001,100781.17340175588
1.1400000000000001,100946.90697119114
1.1500000000000001,100894.55294234288
1.16,100936.88979317604
1.17,100810.64865493392
1.18,100726.92517364315
1.19,100973.95758202116
1.2,100965.35017481862
1.21,100835.67072860266
1.22,101025.5885826927
1.23,100775.51706850032
1.24,100748.788519906
1.25,101016.76927195107
1.26,100831.26981953716
1.27,100613.28267146794
1.28,100859.96756022623
1.29,100800.43929953146
1.3,100949.78395740758
1.31,100883.39427839222
1.32,100918.90271295312
1.33,100899.09770261493
1.34,100716.52857924509
1.35,100655.89142980937
1.36,100609.00274281303
1.37,100731.63589397554
1.3800000000000001,100849.01514137458
1.3900000000000001,100769.68310278305
1.4000000000000001,100758.08600122739
1.41,100717.57919723623
1.42,100911.99121285415
1.43,100876.22526772117
1.44,100813.35161850112
1.45,100732.6994830071
1.46,100937.18994492572
1.47,100717.79107951358
1.48,100697.65545960252
1.49,100875.90985108764
1.5,100678.66077564671
1.51,100785.98798588039
1.52,100779.61727222879
1.53,100767.43175326142
1.54,100848.5994670997
1.55,100667.13013372476
1.56,100729.60775065549
1.57,100782.5537799762
1.58,100791.55457723858
1.59,100924.73642549795
1.6,100805.01802564228
1.61,100755.01689383529
1.62,100836.33425929239
1.6300000000000001,100818.6437995681
1.6400000000000001,100802.05554854902
1.6500000000000001,100744.39608491329
1.6600000000000001,100769.9621549247
1.67,100892.83490387193
1.68,100969.39688779307
1.69,100926.87187480058
1.7,100812.6583713506
1.71,100843.63719903491
1.72,100975.679248368
1.73,100926.60508608774
1.74,100788.03775715889
1.75,100657.03632816125
1.76,100890.15610690524
1.77,100676.4788877448
1.78,100995.65570862783
1.79,100819.34866981201
1.8,100815.83371703792
1.81,101020.54413708774
1.82,100829.66178591317
1.83,100860.84183146185
1.84,100878.3878919033
1.85,100770.27993050806
1.86,100790.87933040173
1.87,100811.06677218902
1.8800000000000001,100801.4671420117
1.8900000000000001,100804.35735075129
1.9000000000000001,100789.59325283984
1.9100000000000001,100939.28086090185
1.92,100812.77645762435
1.93,100717.03878091206
1.94,100783.06976435163
1.95,101060.1041643111
1.96,100960.2161325387
1.97,100959.4781232595
1.98,100909.08267188774
1.99,100953.00444098559
2.0,100768.72050710689
2.0100000000000002,100921.69701364136
2.02,100663.98298169424
2.0300000000000002,100857.56980135728
2.04,100651.9001368049
2.05,100710.65341158776
2.06,100896.97834067034
2.07,100847.57474269772
2.08,101009.18835988468
2.09,100848.86595098581
2.1,100875.97576987988
2.11,100980.25446180401
2.12,101058.27591561688
2.13,100827.52184679572
