X, Y, Z, TICKS
2000,2000,2092,0
1986,2009,2096,1610
1983,2007,2092,3254
1985,2000,2094,4899
1985,2005,2092,6544
1987,2006,2094,8189
1986,2009,2094,9834
1983,2008,2091,11479
1977,2005,2091,13135
1983,2007,2091,14813
1983,2006,2091,16470
1985,2007,2093,18127
1985,2010,2092,19783
1983,2006,2085,21440
1985,2005,2091,23097
1984,2008,2091,24754
1983,2007,2085,26411
1985,1992,2088,28068
1986,2007,2092,29725
1985,1998,2088,31382
1987,2000,2089,33039
1984,2006,2093,49993
1991,2006,2092,51652
1986,2008,2090,53309
1983,2007,2093,54991
1984,2005,2091,56648
1981,2006,2091,58305
1982,2005,2089,59961
1979,2006,2091,61618
1981,2006,2093,63275
1983,2003,2091,64932
1990,2004,2096,66589
1981,2003,2092,68246
1982,2007,2090,69903
1985,2005,2086,71560
1979,2013,2092,73217
1982,2006,2091,74905
1987,1999,2090,76562
1985,2010,2096,78219
1983,2006,2090,79877
1985,2008,2091,81534
1983,2009,2070,104228
1983,2006,2093,105898
1983,2008,2092,107567
1984,2007,2094,109268
1981,2005,2091,110937
1980,2007,2093,112606
1985,1999,2089,114275
1997,2008,2093,115944
1982,2008,2087,117614
1983,2007,2094,119283
1985,2005,2092,120952
1987,2004,2093,122621
1989,2008,2092,124291
1987,2008,2092,125959
1983,2007,2091,127628
1988,2006,2091,129319
1985,2007,2091,130989
1985,2009,2091,132659
1986,2007,2090,134329
1987,2007,2091,135999
1984,2005,2091,152930
1987,2007,2092,154601
1984,2005,2092,156271
1980,2007,2091,157941
1977,2004,2083,159610
1980,2007,2098,161279
1986,2004,2093,162948
1987,2009,2092,164618
1985,2008,2096,166287
1984,2007,2089,167977
1982,2005,2093,169646
1985,2007,2093,171315
1983,2007,2090,172984
1983,2007,2090,174653
1983,2006,2090,176322
1983,2007,2091,177991
1981,2005,2091,179660
1983,2006,2091,181330
1983,2006,2092,183000
1990,2005,2091,184670
1984,2004,2088,201623
1983,2004,2092,203294
1983,2004,2091,204963
1980,2006,2092,206632
1983,2003,2092,208332
1982,2007,2090,210002
1983,2002,2086,211672
1985,2005,2089,213342
1982,2003,2089,215011
1983,2004,2090,216680
1986,2006,2090,218350
1981,2007,2090,220020
1986,2002,2087,221690
1985,2000,2091,223360
1983,2004,2091,225029
1982,2005,2091,226698
1983,2007,2091,228389
1984,2006,2090,230059
1983,2003,2093,231729
1985,2007,2099,248660
1982,2005,2097,250331
1983,2006,2091,252001
1980,2002,2089,253670
1981,2005,2091,255339
1984,2007,2090,257009
1983,2009,2092,258679
1983,2006,2091,260349
1982,2007,2092,262019
1983,2006,2091,263688
1983,2003,2087,265357
1986,2003,2090,267047
1983,2008,2091,268717
1983,2005,2089,270387
1983,2010,2090,272057
1985,2006,2091,273726
1983,2005,2091,275395
1984,2007,2090,277065
1983,2005,2089,278735
1982,2004,2091,280405
1985,2005,2088,297337
1984,2009,2093,299008
1983,2006,2090,300678
1978,2005,2093,302347
1983,2007,2086,304016
1981,2006,2091,305686
1985,2003,2089,307387
1983,2007,2090,309057
