TIME (milliseconds), Temperature (temp units), Pressure (pressure units), X (x units), Y (y units), Z (z units) 
1255, 8811520, 6499072, 2060, 1983, 1968
1287, 8812288, 6499328, 2059, 1992, 1970
1312, 8813056, 6500352, 2057, 1988, 1973
1337, 8813056, 6500352, 2060, 1986, 1980
1362, 8813568, 6499840, 2061, 1987, 1975
1387, 8813568, 6499840, 2066, 1997, 1984
1412, 8813568, 6499840, 2068, 1994, 1976
1437, 8813568, 6500352, 2069, 1998, 1977
1461, 8813568, 6500608, 2063, 1980, 1978
1489, 8813312, 6500352, 2056, 1976, 1978
1514, 8812800, 6500096, 2059, 1985, 1974
1539, 8811520, 6499584, 2062, 1987, 1976
1564, 8810752, 6499328, 2074, 2006, 1977
1589, 8809728, 6498560, 2071, 1997, 1988
1614, 8808704, 6498304, 2058, 1964, 1986
1639, 8807680, 6496768, 2058, 1993, 1980
1664, 8806656, 6497280, 2069, 2003, 1973
1690, 8805888, 6496768, 2070, 1984, 1973
1715, 8804608, 6496256, 2064, 1978, 1968
1740, 8803584, 6496256, 2061, 1981, 1987
1765, 8802560, 6495232, 2066, 1997, 1995
1790, 8801792, 6494976, 2066, 1995, 1994
1815, 8800512, 6494720, 2052, 1975, 1986
1840, 8799744, 6494464, 2057, 1975, 1985
1866, 8799232, 6493696, 2062, 1979, 1978
1891, 8798464, 6493184, 2062, 1992, 1996
1916, 8797696, 6493440, 2064, 1999, 1989
1941, 8796928, 6492928, 2066, 1994, 1984
1966, 8795904, 6492672, 2061, 1982, 1992
1991, 8794624, 6492416, 2070, 2034, 1993
2016, 8794624, 6491392, 2062, 1991, 1991
2040, 8794112, 6491904, 2058, 1986, 1983
2066, 8793856, 6491904, 2062, 1991, 1979
2091, 8792832, 6490880, 2059, 1994, 1974
2117, 8792064, 6491136, 2064, 2002, 1986
2142, 8791808, 6491136, 2067, 2004, 1985
2167, 8791552, 6490880, 2065, 2007, 1982
2192, 8791296, 6490112, 2065, 2006, 1982
2217, 8790784, 6491392, 2065, 2000, 1977
2242, 8790528, 6490624, 2064, 2003, 1984
2267, 8790016, 6489856, 2066, 2003, 1983
2292, 8789760, 6489600, 2062, 1995, 1982
2317, 8789504, 6489600, 2062, 1995, 1980
2342, 8789504, 6489856, 2063, 2008, 1982
2367, 8788992, 6489600, 2063, 2004, 1985
2392, 8788224, 6489600, 2067, 2001, 1984
2417, 8788224, 6489344, 2069, 1999, 1988
2443, 8787968, 6489344, 2064, 1993, 1977
2468, 8787456, 6489344, 2064, 1991, 1974
2494, 8787712, 6489600, 2064, 1979, 1987
2519, 8787456, 6488576, 2058, 1982, 1984
2544, 8786944, 6489088, 2057, 2008, 1975
2569, 8786944, 6488576, 2061, 2020, 1973
2594, 8786944, 6488064, 2064, 1988, 1979
2619, 8786432, 6488320, 2074, 1968, 1982
2644, 8786432, 6488832, 2068, 1983, 1983
2669, 8786176, 6488576, 2070, 2012, 1992
2694, 8785920, 6487296, 2068, 2017, 1994
2719, 8785152, 6487808, 2066, 1999, 1980
2745, 8785664, 6488064, 2058, 1977, 1973
2770, 8785152, 6487552, 2060, 1993, 1982
2795, 8784640, 6488576, 2066, 2024, 1999
2820, 8784128, 6488320, 2066, 2022, 1995
2845, 8784640, 6488064, 2066, 1986, 2002
2870, 8783872, 6488064, 2058, 1983, 2000
2896, 8783616, 6488320, 2050, 2012, 2003
2921, 8783616, 6487552, 2068, 2002, 2003
2946, 8782336, 6487808, 2066, 1995, 2020
2971, 8782336, 6487808, 2040, 1982, 1982
2996, 8782080, 6487040, 2067, 1999, 2000
3021, 8782080, 6487552, 2046, 1985, 1983
3047, 8781312, 6486784, 2065, 1999, 2001
3072, 8781056, 6487040, 2092, 2034, 2005
3097, 8780544, 6486528, 2084, 2000, 1977
3122, 8780288, 6486528, 2062, 1994, 1987
3147, 8780032, 6486784, 2064, 1997, 1980
3172, 8779776, 6487296, 2064, 2002, 1973
3197, 8779776, 6487040, 2059, 2007, 1971
3222, 8779264, 6487040, 2060, 2016, 1953
3247, 8778752, 6486784, 2060, 2016, 1964
3272, 8778496, 6487040, 2060, 2017, 1956
3297, 8778496, 6486272, 2066, 2018, 1950
3322, 8778496, 6486272, 2068, 2024, 1950
3348, 8778240, 6486016, 2076, 2025, 1948
3373, 8777472, 6486272, 2073, 2024, 1949
3398, 8777216, 6485504, 2061, 2020, 1947
3423, 8777216, 6486016, 2052, 2022, 1951
3448, 8776448, 6485760, 2045, 2021, 1951
3473, 8776192, 6484992, 2038, 2014, 1953
3497, 8776704, 6485504, 2034, 2007, 1951
3522, 8776448, 6484992, 2031, 2003, 1951
3547, 8776192, 6484480, 2027, 1998, 1946
3572, 8775936, 6483968, 2036, 1997, 1943
3597, 8776448, 6484480, 2050, 2000, 1940
3622, 8775936, 6483968, 2061, 2001, 1936
3648, 8775680, 6482944, 2064, 2000, 1932
3673, 8775680, 6482944, 2068, 2001, 1938
3697, 8775936, 6482944, 2070, 1997, 1954
3722, 8775168, 6483200, 2073, 1992, 1969
3747, 8774912, 6481920, 2066, 1988, 1964
3772, 8774912, 6481664, 2059, 1986, 1969
3797, 8774656, 6481920, 2055, 1986, 1971
3822, 8774144, 6481920, 2054, 1987, 1972
3847, 8774400, 6481152, 2049, 1968, 1974
3872, 8773632, 6481152, 2054, 1978, 1978
3897, 8773632, 6481664, 2053, 1983, 1970
3922, 8772864, 6480896, 2057, 1989, 1976
3947, 8772864, 6480640, 2064, 1999, 1980
3965, 8772608, 6481152, 2064, 2007, 1979
3990, 8772352, 6480384, 2060, 2039, 1999
4015, 8772096, 6481920, 2060, 1978, 1973
4040, 8771584, 6480896, 2067, 1993, 1968
4065, 8771584, 6480384, 2064, 1999, 1970
4090, 8771584, 6479872, 2064, 1999, 1973
4115, 8771584, 6480640, 2065, 1997, 1969
4140, 8770816, 6480128, 2066, 1995, 1970
4165, 8771072, 6480128, 2062, 1994, 1965
4190, 8771072, 6480640, 2062, 1996, 1964
4215, 8770816, 6479872, 2062, 1994, 1962
4240, 8771328, 6479616, 2064, 1991, 1962
4266, 8770816, 6480640, 2064, 1993, 1965
4291, 8770816, 6480896, 2066, 1990, 1966
4316, 8770816, 6480384, 2064, 1987, 1962
4342, 8770816, 6480384, 2059, 1987, 1959
4367, 8770816, 6479616, 2057, 1991, 1958
4392, 8770816, 6480384, 2060, 1990, 1959
4417, 8770816, 6480640, 2059, 1990, 1960
4442, 8770560, 6480384, 2062, 1991, 1958
4467, 8770560, 6480640, 2062, 1992, 1959
4492, 8770560, 6480640, 2061, 1988, 1958
4517, 8770560, 6480896, 2064, 1988, 1956
4544, 8770048, 6480640, 2063, 1990, 1951
4570, 8770304, 6480384, 2064, 1990, 1951
4595, 8770048, 6481408, 2069, 1999, 1945
4620, 8769792, 6480640, 2067, 1993, 1945
4645, 8769792, 6480384, 2063, 1991, 1945
4670, 8769536, 6481408, 2062, 1991, 1938
4695, 8769536, 6480384, 2061, 1993, 1925
4720, 8769536, 6480640, 2063, 1988, 1930
4745, 8769280, 6481152, 2064, 1989, 1925
4770, 8769536, 6480640, 2067, 1992, 1917
4795, 8769280, 6480384, 2065, 1990, 1918
4820, 8768768, 6480128, 2065, 1990, 1917
4845, 8768768, 6480384, 2064, 1987, 1889
4870, 8768256, 6479872, 2064, 1991, 1876
4895, 8768512, 6479872, 2061, 1989, 1838
4920, 8768256, 6479872, 2062, 1990, 1803
4945, 8768512, 6480640, 2063, 1988, 1610
4970, 8768768, 6479616, 2060, 1987, 1603
4995, 8768768, 6479360, 2060, 1989, 1549
5020, 8768512, 6480128, 2059, 1990, 1530
5045, 8769024, 6479104, 2062, 1991, 1516
5070, 8768768, 6480128, 2066, 1987, 1475
5095, 8769024, 6479616, 2064, 1994, 1399
5120, 8768768, 6479872, 2063, 1998, 1382
5145, 8769024, 6479872, 2063, 1995, 1382
5171, 8768256, 6480384, 2065, 1996, 1380
5196, 8768512, 6479872, 2068, 1998, 1383
5221, 8768256, 6479872, 2067, 1997, 1382
5246, 8769024, 6479616, 2063, 1996, 1377
5271, 8768512, 6479616, 2061, 1995, 1382
5296, 8768512, 6480384, 2064, 1995, 1384
5321, 8768256, 6479616, 2066, 1995, 1383
5346, 8768000, 6480128, 2066, 1996, 1383
5371, 8767744, 6479616, 2057, 1993, 1383
5396, 8767744, 6479616, 2064, 1996, 1382
5421, 8767488, 6479104, 2065, 1996, 1386
5446, 8767488, 6479360, 2063, 1993, 1388
5472, 8767488, 6478848, 2064, 1996, 1386
5497, 8766976, 6479616, 2064, 1994, 1385
5522, 8767488, 6478848, 2062, 1993, 1389
5547, 8767232, 6478848, 2064, 1997, 1385
5572, 8766976, 6479360, 2064, 1996, 1381
5597, 8767488, 6479872, 2065, 1993, 1381
5622, 8766976, 6479616, 2066, 1993, 1382
5647, 8767232, 6479360, 2067, 1998, 1383
5672, 8767232, 6478848, 2066, 1993, 1382
5697, 8767232, 6479104, 2063, 1995, 1380
5722, 8766720, 6478848, 2063, 1995, 1381
5747, 8766720, 6479616, 2062, 1995, 1380
5772, 8766720, 6479360, 2063, 1999, 1381
5797, 8766720, 6479104, 2064, 1996, 1380
