bits, TICKS
2008, 0 
2320, 30573 
2659, 61204 
2983, 91834 
3294, 122469 
3594, 153151 
3853, 183832 
4017, 214512 
4016, 245194 
4012, 275877 
4014, 306558 
4013, 337240 
4017, 367922 
4016, 398605 
4017, 429291 
4016, 459972 
4016, 490654 
4014, 521337 
4018, 552022 
4016, 582708 
4013, 613394 
4016, 644081 
4014, 674768 
4016, 705454 
4017, 736140 
4016, 766827 
4016, 797514 
4016, 828200 
4018, 858886 
4016, 889573 
4014, 920260 
4014, 950946 
4014, 981632 
4017, 1012319 
4014, 1038381 
4014, 1069114 
4016, 1099847 
4019, 1130578 
4013, 1161310 
4016, 1192037 
4016, 1222768 
4014, 1253499 
4017, 1284231 
4014, 1314963 
4016, 1345695 
4017, 1376426 
4017, 1407160 
4012, 1437894 
4017, 1468626 
4012, 1499358 
4016, 1530089 
4014, 1560822 
4011, 1591555 
4013, 1622288 
4013, 1653020 
4016, 1683750 
4014, 1714483 
4014, 1745217 
4011, 1775950 
4013, 1806681 
4016, 1837411 
4016, 1868145 
4013, 1898880 
4013, 1929610 
4016, 1960340 
4016, 1991074 
4017, 2017140 
4013, 2047870 
4014, 2078604 
4017, 2109339 
4013, 2140069 
4016, 2170804 
4016, 2201537 
4012, 2232271 
4016, 2263005 
4014, 2293732 
4016, 2324468 
4016, 2355201 
4016, 2385933 
4013, 2416666 
4016, 2447396 
4016, 2478129 
4014, 2508863 
4013, 2539597 
4014, 2570330 
4014, 2601062 
4016, 2631793 
4012, 2662526 
4013, 2693255 
4016, 2723986 
4017, 2754722 
4013, 2785454 
4012, 2816187 
4016, 2846921 
4015, 2877655 
4017, 2908386 
4013, 2939121 
4013, 2969854 
4014, 2995919 
4014, 3026652 
4016, 3057385 
4014, 3088119 
4014, 3118853 
4016, 3149586 
4016, 3180318 
4014, 3211054 
4014, 3241786 
4013, 3272519 
4013, 3303253 
4012, 3333981 
4014, 3364716 
4017, 3395448 
4016, 3426186 
4014, 3456924 
4016, 3487661 
4012, 3518398 
4014, 3549136 
4013, 3579874 
4013, 3610612 
4016, 3641343 
4013, 3672071 
4017, 3702807 
4012, 3733540 
4014, 3764277 
4016, 3795014 
4016, 3825752 
4016, 3856490 
4013, 3887227 
4013, 3917964 
4016, 3948702 
4013, 3974771 
4013, 4005506 
4016, 4036236 
4014, 4066969 
4013, 4097706 
4012, 4128443 
4013, 4159181 
4013, 4189919 
4013, 4220656 
4014, 4251387 
4016, 4282121 
4016, 4312853 
4013, 4343588 
4015, 4374320 
4012, 4405058 
4016, 4435796 
4013, 4466533 
4014, 4497264 
4012, 4527998 
4013, 4558730 
4013, 4589465 
4013, 4620197 
4013, 4650935 
4014, 4681673 
4012, 4712411 
4016, 4743148 
4015, 4773886 
4016, 4804624 
4013, 4835362 
4016, 4866099 
3996, 4896836 
4013, 4927574 
4016, 4953643 
4016, 4984378 
4015, 5015110 
4016, 5045841 
4012, 5076578 
4016, 5107315 
4013, 5138053 
4016, 5168791 
4013, 5199528 
4016, 5230265 
4015, 5260997 
4016, 5291735 
4016, 5322470 
4016, 5353206 
4014, 5383937 
4014, 5414675 
4016, 5445412 
4017, 5476144 
4016, 5506882 
4013, 5537620 
4016, 5568357 
3275, 5599094 
2843, 5629832 
1099, 5660570 
1114, 5691303 
1472, 5722036 
1839, 5752770 
2209, 5783502 
2568, 5814237 
2914, 5844974 
3265, 5875712 
3608, 5906450 
3925, 5932518 
4014, 5963254 
4013, 5993992 
4014, 6024728 
4013, 6055464 
4014, 6086194 
4016, 6116930 
4016, 6147668 
4013, 6178405 
4013, 6209142 
4013, 6239880 
4013, 6270618 
4015, 6301355 
4013, 6332087 
4015, 6362825 
4016, 6393563 
4016, 6424300 
4016, 6455031 
4016, 6485764 
4016, 6516501 
4014, 6547231 
4016, 6577966 
4017, 6608704 
4013, 6639442 
4013, 6670179 
4015, 6700916 
4016, 6731654 
4013, 6762392 
4013, 6793129 
4013, 6823866 
4016, 6854604 
4016, 6885342 
0, 6911410 
0, 6941999 
0, 6972587 
0, 7003176 
0, 7033764 
0, 7064352 
0, 7094941 
0, 7125530 
0, 7156118 
0, 7186706 
0, 7217295 
0, 7247884 
0, 7278472 
0, 7309060 
0, 7339649 
0, 7370238 
0, 7400826 
0, 7431414 
0, 7462003 
0, 7492592 
0, 7523180 
0, 7553768 
0, 7584357 
0, 7614946 
0, 7645534 
0, 7676122 
0, 7706711 
0, 7737300 
0, 7767888 
0, 7798476 
0, 7829065 
0, 7859654 
0, 7890242 
0, 7920830 
0, 7951419 
0, 7982008 
